,name,longitude,latitude
0,Cineteatro,-8.630230265749105,39.20986886844473
1,Pavilhão Desportivo,-8.624431111422087,39.20540167659907
2,Biblioteca Municipal,-8.62120983377194,39.20735213764864
3,Parque Urbano,-8.622313742760527,39.21469319350131
4,Piscinas & Estádio Municipal,-8.617121108471595,39.2119377669182
5,Rua dos Aliados,-8.62231328643975,39.209580968516455
6,Posto Turismo,-8.6275174241083,39.20176629254679
7,Charquinhos,-8.630568231601726,39.20614141447927
8,Câmara Municipal,-8.628452247797505,39.20845007777937
