,name,category,lat,lng
70,Antonio Fidalgo Rosa,Café,39.203672,-8.628443
71,Chapitas - Actividades Hoteleiras,Night Club,39.202822,-8.627817
72,Turma dos Desejos - Unipessoal,Tea Room,39.205583,-8.619246
73,António P Luís Fidalgo,Café,39.209299,-8.622947
74,Ciberim-Serviço de Cópias e Internet Unipessoal,Art Restoration Service,39.207902,-8.620129
75,Café Bar O Retiro,Café,39.208441,-8.620171
76,António M Figueiredo Hortelão,Café,39.205287,-8.618581
77,Bar 56,Arts and Entertainment,39.206617,-8.630799
78,Fino's Caffé,Bar,39.207945,-8.618346
79,Café Pirolito,Café,39.209644,-8.628668
80,Pizzaria Avenida,Night Club,39.209693,-8.628727
81,Vânia Lopes - Unipessoal,Tea Room,39.209693,-8.628727
82,Café Cine,Café,39.209693,-8.628727
83,Cantarrilha & Bento - Actividades Hoteleiras,Tea Room,39.209693,-8.628727
84,Maria Helena A F Aldeinhas,Café,39.209693,-8.628727
85,Aida M Soares Conceição,Café,39.209693,-8.628727
86,António F Fernandes Virgas,Wine Bar,39.209693,-8.628727
87,Caffe Central,Bar,39.209094,-8.629936
88,Nunes & Dias,Bar,39.210279,-8.628216
89,Resto bar YA GO,Bar,39.208786,-8.630581
90,"Maxidoce - Café, Bar",Art Restoration Service,39.210054,-8.629063
91,Georgina Alves Lopes,Café,39.210621,-8.62802
92,Domitília M Aniceto Bento,Café,39.210379,-8.62895
93,"Venercom, Comércio e Representações de Produtos Alimentares",Food and Beverage Service,39.210089,-8.629819
94,Garcia B Brito Apolónia,Café,39.209749,-8.63063
95,Copo Com Texto-Cafetaria e Livraria,Café,39.210464,-8.629766
96,Bar All Friends em Almeirim,Bar,39.208282,-8.616615
97,Café Império,Café,39.209929,-8.630951
98,Filipa Pinheiro & Fábio Dias,Bar,39.209541,-8.632009
99,Rainha dos Bolos - Unipessoal,Café,39.202797,-8.61576
100,Café Império,Bar,39.209374,-8.630684
101,Pastelaria Veniciene,Coffee Shop,39.210411,-8.6191
102,Pastelaria Rainha,Café,39.211814,-8.619072
103,Pastelaria Pão e Doce,Café,39.212976,-8.620281
104,Titanic,Bar,39.213075,-8.620401
105,Ponto G,Café,39.213055,-8.619562
106,Rhefúgios Bar,Bar,39.208014,-8.628928
107,Dux Bar,Bar,39.21159,-8.615538
108,Casa de Chá Chic,Café,39.209287,-8.629253
109,Bora Bora Bar,Beer Garden,39.21033,-8.62889
110,Caffe Central,Café,39.209143,-8.629995
111,Boutique do Chá,Tea Room,39.210251,-8.629609
112,O Bago,Café,39.20719,-8.631291
113,Casa das Queijadas,Café,39.202235,-8.628022
114,Cavalo Preto,Bar,39.201338,-8.62795
115,3A É de Vez,Bar,39.209736,-8.631633
116,Ciberim-Serviço de Cópias e Internet Unipessoal,Art Restoration Service,39.207902,-8.620129
117,Café Bar O Retiro,Café,39.208441,-8.620171
118,Fino's Caffé,Bar,39.207945,-8.618346
119,Turma dos Desejos - Unipessoal,Tea Room,39.205583,-8.619246
120,António P Luís Fidalgo,Café,39.209299,-8.622947
121,Carlos M Lopes Garcia,Night Club,39.208927,-8.623922
122,António M Figueiredo Hortelão,Café,39.205287,-8.618581
123,Alcindo J. N. Pereira Monteiro,Café,39.20678,-8.62526
124,Bar All Friends em Almeirim,Bar,39.208282,-8.616615
125,Felismina A Maria Silva,Café,39.207727,-8.626031
126,Rosa I Matias Meme,Café,39.203093,-8.621113
127,Sousa & Neves,Night Club,39.204237,-8.626479
128,Café Baptista,Café,39.21012,-8.615282
129,Plano Água - Actividades Hoteleiras e Similares,Art Restoration Service,39.212943,-8.620139
130,Sexty_69_nine_bar,Bar,39.211379,-8.615996
131,Joaquina M Pires Cruz,Café,39.212829,-8.624791
132,Clorofila Bar em Almeirim,Bar,39.213067,-8.618251
133,Nunes & Dias,Bar,39.210279,-8.628216
134,Georgina Alves Lopes,Café,39.210621,-8.62802
135,Café Pirolito,Café,39.209644,-8.628668
136,Rainha dos Bolos - Unipessoal,Café,39.202797,-8.61576
137,Pizzaria Avenida,Night Club,39.209693,-8.628727
138,Vânia Lopes - Unipessoal,Tea Room,39.209693,-8.628727
139,Café Cine,Café,39.209693,-8.628727
140,Cantarrilha & Bento - Actividades Hoteleiras,Tea Room,39.209693,-8.628727
141,Maria Helena A F Aldeinhas,Café,39.209693,-8.628727
142,Aida M Soares Conceição,Café,39.209693,-8.628727
143,António F Fernandes Virgas,Wine Bar,39.209693,-8.628727
144,Conceição Caldeira Policarpo,Café,39.213316,-8.62416
145,"Maxidoce - Café, Bar",Art Restoration Service,39.210054,-8.629063
146,Antonio Fidalgo Rosa,Café,39.203672,-8.628443
147,Tecniart,Tea Room,39.213948,-8.622787
148,Domitília M Aniceto Bento,Café,39.210379,-8.62895
149,Joaquim Duarte Russo,Art Restoration Service,39.21387,-8.623813
150,Titanic,Bar,39.213075,-8.620401
151,Pastelaria Pão e Doce,Café,39.212976,-8.620281
152,Ponto G,Café,39.213055,-8.619562
153,Café Império,Bar,39.209374,-8.630684
154,Pastelaria Rainha,Café,39.211814,-8.619072
155,Pastelaria Veniciene,Coffee Shop,39.210411,-8.6191
156,Dux Bar,Bar,39.21159,-8.615538
157,Bora Bora Bar,Beer Garden,39.21033,-8.62889
158,Boutique do Chá,Tea Room,39.210251,-8.629609
159,Casa de Chá Chic,Café,39.209287,-8.629253
160,Caffe Central,Café,39.209143,-8.629995
161,Rhefúgios Bar,Bar,39.208014,-8.628928
162,3A É de Vez,Bar,39.209736,-8.631633
163,Tecniart,Tea Room,39.213948,-8.622787
164,Joaquim Duarte Russo,Art Restoration Service,39.21387,-8.623813
165,Conceição Caldeira Policarpo,Café,39.213316,-8.62416
166,Plano Água - Actividades Hoteleiras e Similares,Art Restoration Service,39.212943,-8.620139
167,Joaquina M Pires Cruz,Café,39.212829,-8.624791
168,Clorofila Bar em Almeirim,Bar,39.213067,-8.618251
169,António P Luís Fidalgo,Café,39.209299,-8.622947
170,Carlos M Lopes Garcia,Night Club,39.208927,-8.623922
171,Sexty_69_nine_bar,Bar,39.211379,-8.615996
172,Georgina Alves Lopes,Café,39.210621,-8.62802
173,Nunes & Dias,Bar,39.210279,-8.628216
174,Café Bar O Retiro,Café,39.208441,-8.620171
175,Domitília M Aniceto Bento,Café,39.210379,-8.62895
176,Duo S.A.,Event Service,39.212131,-8.630568
177,"Maxidoce - Café, Bar",Art Restoration Service,39.210054,-8.629063
178,Ciberim-Serviço de Cópias e Internet Unipessoal,Art Restoration Service,39.207902,-8.620129
179,Café Pirolito,Café,39.209644,-8.628668
180,Pizzaria Avenida,Night Club,39.209693,-8.628727
181,Café Cine,Café,39.209693,-8.628727
182,Vânia Lopes - Unipessoal,Tea Room,39.209693,-8.628727
183,Cantarrilha & Bento - Actividades Hoteleiras,Tea Room,39.209693,-8.628727
184,Maria Helena A F Aldeinhas,Café,39.209693,-8.628727
185,Aida M Soares Conceição,Café,39.209693,-8.628727
186,António F Fernandes Virgas,Wine Bar,39.209693,-8.628727
187,Café Baptista,Café,39.21012,-8.615282
188,Copo Com Texto-Cafetaria e Livraria,Café,39.210464,-8.629766
189,"Venercom, Comércio e Representações de Produtos Alimentares",Food and Beverage Service,39.210089,-8.629819
190,Fino's Caffé,Bar,39.207945,-8.618346
191,Felismina A Maria Silva,Café,39.207727,-8.626031
192,Bar All Friends em Almeirim,Bar,39.208282,-8.616615
193,Garcia B Brito Apolónia,Café,39.209749,-8.63063
194,Caffe Central,Bar,39.209094,-8.629936
195,Café Império,Café,39.209929,-8.630951
196,Alcindo J. N. Pereira Monteiro,Café,39.20678,-8.62526
197,Resto bar YA GO,Bar,39.208786,-8.630581
198,Dux Bar,Bar,39.21159,-8.615538
199,Pastelaria Rainha,Café,39.211814,-8.619072
200,Pastelaria Veniciene,Coffee Shop,39.210411,-8.6191
201,Ponto G,Café,39.213055,-8.619562
202,Pastelaria Pão e Doce,Café,39.212976,-8.620281
203,Titanic,Bar,39.213075,-8.620401
204,Sexty_69_nine_bar,Bar,39.211379,-8.615996
205,Clorofila Bar em Almeirim,Bar,39.213067,-8.618251
206,Café Baptista,Café,39.21012,-8.615282
207,Plano Água - Actividades Hoteleiras e Similares,Art Restoration Service,39.212943,-8.620139
208,Bar All Friends em Almeirim,Bar,39.208282,-8.616615
209,Fino's Caffé,Bar,39.207945,-8.618346
210,Café Bar O Retiro,Café,39.208441,-8.620171
211,Ciberim-Serviço de Cópias e Internet Unipessoal,Art Restoration Service,39.207902,-8.620129
212,Tecniart,Tea Room,39.213948,-8.622787
213,António P Luís Fidalgo,Café,39.209299,-8.622947
214,Joaquim Duarte Russo,Art Restoration Service,39.21387,-8.623813
215,Conceição Caldeira Policarpo,Café,39.213316,-8.62416
216,Joaquina M Pires Cruz,Café,39.212829,-8.624791
217,Carlos M Lopes Garcia,Night Club,39.208927,-8.623922
218,Turma dos Desejos - Unipessoal,Tea Room,39.205583,-8.619246
219,António M Figueiredo Hortelão,Café,39.205287,-8.618581
220,Felismina A Maria Silva,Café,39.207727,-8.626031
221,Alcindo J. N. Pereira Monteiro,Café,39.20678,-8.62526
222,Georgina Alves Lopes,Café,39.210621,-8.62802
223,Nunes & Dias,Bar,39.210279,-8.628216
224,Café Império,Bar,39.209374,-8.630684
225,Pastelaria Veniciene,Coffee Shop,39.210411,-8.6191
226,Pastelaria Rainha,Café,39.211814,-8.619072
227,Pastelaria Pão e Doce,Café,39.212976,-8.620281
228,Titanic,Bar,39.213075,-8.620401
229,Ponto G,Café,39.213055,-8.619562
230,Bora Bora Bar,Beer Garden,39.21033,-8.62889
231,Rhefúgios Bar,Bar,39.208014,-8.628928
232,Casa de Chá Chic,Café,39.209287,-8.629253
233,Dux Bar,Bar,39.21159,-8.615538
234,Boutique do Chá,Tea Room,39.210251,-8.629609
235,Caffe Central,Café,39.209143,-8.629995
236,3A É de Vez,Bar,39.209736,-8.631633
237,O Bago,Café,39.20719,-8.631291
238,Casa das Queijadas,Café,39.202235,-8.628022
239,António P Luís Fidalgo,Café,39.209299,-8.622947
240,Carlos M Lopes Garcia,Night Club,39.208927,-8.623922
241,Café Bar O Retiro,Café,39.208441,-8.620171
242,Ciberim-Serviço de Cópias e Internet Unipessoal,Art Restoration Service,39.207902,-8.620129
243,Felismina A Maria Silva,Café,39.207727,-8.626031
244,Fino's Caffé,Bar,39.207945,-8.618346
245,Alcindo J. N. Pereira Monteiro,Café,39.20678,-8.62526
246,Plano Água - Actividades Hoteleiras e Similares,Art Restoration Service,39.212943,-8.620139
247,Joaquina M Pires Cruz,Café,39.212829,-8.624791
248,Conceição Caldeira Policarpo,Café,39.213316,-8.62416
249,Tecniart,Tea Room,39.213948,-8.622787
250,Joaquim Duarte Russo,Art Restoration Service,39.21387,-8.623813
251,Georgina Alves Lopes,Café,39.210621,-8.62802
252,Bar All Friends em Almeirim,Bar,39.208282,-8.616615
253,Nunes & Dias,Bar,39.210279,-8.628216
254,Turma dos Desejos - Unipessoal,Tea Room,39.205583,-8.619246
255,Clorofila Bar em Almeirim,Bar,39.213067,-8.618251
256,Café Pirolito,Café,39.209644,-8.628668
257,Pizzaria Avenida,Night Club,39.209693,-8.628727
258,Vânia Lopes - Unipessoal,Tea Room,39.209693,-8.628727
259,Café Cine,Café,39.209693,-8.628727
260,Cantarrilha & Bento - Actividades Hoteleiras,Tea Room,39.209693,-8.628727
261,Maria Helena A F Aldeinhas,Café,39.209693,-8.628727
262,Aida M Soares Conceição,Café,39.209693,-8.628727
263,António F Fernandes Virgas,Wine Bar,39.209693,-8.628727
264,António M Figueiredo Hortelão,Café,39.205287,-8.618581
265,Domitília M Aniceto Bento,Café,39.210379,-8.62895
266,Sexty_69_nine_bar,Bar,39.211379,-8.615996
267,"Maxidoce - Café, Bar",Art Restoration Service,39.210054,-8.629063
268,Café Baptista,Café,39.21012,-8.615282
269,"Venercom, Comércio e Representações de Produtos Alimentares",Food and Beverage Service,39.210089,-8.629819
270,Copo Com Texto-Cafetaria e Livraria,Café,39.210464,-8.629766
271,Caffe Central,Bar,39.209094,-8.629936
272,Sousa & Neves,Night Club,39.204237,-8.626479
273,Garcia B Brito Apolónia,Café,39.209749,-8.63063
274,Café Império,Bar,39.209374,-8.630684
275,O Bago,Café,39.20719,-8.631291
276,Rhefúgios Bar,Bar,39.208014,-8.628928
277,Caffe Central,Café,39.209143,-8.629995
278,Casa de Chá Chic,Café,39.209287,-8.629253
279,3A É de Vez,Bar,39.209736,-8.631633
280,Boutique do Chá,Tea Room,39.210251,-8.629609
281,Bora Bora Bar,Beer Garden,39.21033,-8.62889
282,Casa das Queijadas,Café,39.202235,-8.628022
283,Cavalo Preto,Bar,39.201338,-8.62795
284,Bar 56,Arts and Entertainment,39.206617,-8.630799
285,Resto bar YA GO,Bar,39.208786,-8.630581
286,Antonio Fidalgo Rosa,Café,39.203672,-8.628443
287,Caffe Central,Bar,39.209094,-8.629936
288,Filipa Pinheiro & Fábio Dias,Bar,39.209541,-8.632009
289,Garcia B Brito Apolónia,Café,39.209749,-8.63063
290,Sousa & Neves,Night Club,39.204237,-8.626479
291,Café Império,Café,39.209929,-8.630951
292,Café Pirolito,Café,39.209644,-8.628668
293,Pizzaria Avenida,Night Club,39.209693,-8.628727
294,Vânia Lopes - Unipessoal,Tea Room,39.209693,-8.628727
295,Café Cine,Café,39.209693,-8.628727
296,Cantarrilha & Bento - Actividades Hoteleiras,Tea Room,39.209693,-8.628727
297,Maria Helena A F Aldeinhas,Café,39.209693,-8.628727
298,Aida M Soares Conceição,Café,39.209693,-8.628727
299,António F Fernandes Virgas,Wine Bar,39.209693,-8.628727
300,Felismina A Maria Silva,Café,39.207727,-8.626031
301,Chapitas - Actividades Hoteleiras,Night Club,39.202822,-8.627817
302,"Venercom, Comércio e Representações de Produtos Alimentares",Food and Beverage Service,39.210089,-8.629819
303,"Julieta Mendes, Unipessoal",Art Restoration Service,39.209885,-8.632427
304,"Maxidoce - Café, Bar",Art Restoration Service,39.210054,-8.629063
305,Alcindo J. N. Pereira Monteiro,Café,39.20678,-8.62526
306,Copo Com Texto-Cafetaria e Livraria,Café,39.210464,-8.629766
307,Domitília M Aniceto Bento,Café,39.210379,-8.62895
308,Nunes & Dias,Bar,39.210279,-8.628216
309,Georgina Alves Lopes,Café,39.210621,-8.62802
310,Carlos M Lopes Garcia,Night Club,39.208927,-8.623922
311,Duo S.A.,Event Service,39.212131,-8.630568
312,António P Luís Fidalgo,Café,39.209299,-8.622947
313,Rosa I Matias Meme,Café,39.203093,-8.621113
314,Joaquina M Pires Cruz,Café,39.212829,-8.624791
315,Ciberim-Serviço de Cópias e Internet Unipessoal,Art Restoration Service,39.207902,-8.620129
316,Café Bar O Retiro,Café,39.208441,-8.620171
317,Conceição Caldeira Policarpo,Café,39.213316,-8.62416
318,Turma dos Desejos - Unipessoal,Tea Room,39.205583,-8.619246
319,Café Império,Bar,39.209374,-8.630684
320,Boutique do Chá,Tea Room,39.210251,-8.629609
321,Caffe Central,Café,39.209143,-8.629995
322,Casa de Chá Chic,Café,39.209287,-8.629253
323,3A É de Vez,Bar,39.209736,-8.631633
324,Bora Bora Bar,Beer Garden,39.21033,-8.62889
325,Rhefúgios Bar,Bar,39.208014,-8.628928
326,O Bago,Café,39.20719,-8.631291
327,Titanic,Bar,39.213075,-8.620401
328,Pastelaria Pão e Doce,Café,39.212976,-8.620281
329,Casa das Queijadas,Café,39.202235,-8.628022
330,Pastelaria Veniciene,Coffee Shop,39.210411,-8.6191
331,Pastelaria Rainha,Café,39.211814,-8.619072
332,Ponto G,Café,39.213055,-8.619562
333,Cavalo Preto,Bar,39.201338,-8.62795
334,Garcia B Brito Apolónia,Café,39.209749,-8.63063
335,"Venercom, Comércio e Representações de Produtos Alimentares",Food and Beverage Service,39.210089,-8.629819
336,Café Império,Café,39.209929,-8.630951
337,Copo Com Texto-Cafetaria e Livraria,Café,39.210464,-8.629766
338,Caffe Central,Bar,39.209094,-8.629936
339,"Maxidoce - Café, Bar",Art Restoration Service,39.210054,-8.629063
340,Domitília M Aniceto Bento,Café,39.210379,-8.62895
341,Resto bar YA GO,Bar,39.208786,-8.630581
342,Pizzaria Avenida,Night Club,39.209693,-8.628727
343,Vânia Lopes - Unipessoal,Tea Room,39.209693,-8.628727
344,Café Cine,Café,39.209693,-8.628727
345,Cantarrilha & Bento - Actividades Hoteleiras,Tea Room,39.209693,-8.628727
346,Maria Helena A F Aldeinhas,Café,39.209693,-8.628727
347,Aida M Soares Conceição,Café,39.209693,-8.628727
348,António F Fernandes Virgas,Wine Bar,39.209693,-8.628727
349,Café Pirolito,Café,39.209644,-8.628668
350,Filipa Pinheiro & Fábio Dias,Bar,39.209541,-8.632009
351,Nunes & Dias,Bar,39.210279,-8.628216
352,"Julieta Mendes, Unipessoal",Art Restoration Service,39.209885,-8.632427
353,Georgina Alves Lopes,Café,39.210621,-8.62802
354,Duo S.A.,Event Service,39.212131,-8.630568
355,Bar 56,Arts and Entertainment,39.206617,-8.630799
356,Felismina A Maria Silva,Café,39.207727,-8.626031
357,Alcindo J. N. Pereira Monteiro,Café,39.20678,-8.62526
358,Carlos M Lopes Garcia,Night Club,39.208927,-8.623922
359,Joaquina M Pires Cruz,Café,39.212829,-8.624791
360,António P Luís Fidalgo,Café,39.209299,-8.622947
361,Conceição Caldeira Policarpo,Café,39.213316,-8.62416
362,Sousa & Neves,Night Club,39.204237,-8.626479
363,Antonio Fidalgo Rosa,Café,39.203672,-8.628443
364,Joaquim Duarte Russo,Art Restoration Service,39.21387,-8.623813
365,Tecniart,Tea Room,39.213948,-8.622787
366,Chapitas - Actividades Hoteleiras,Night Club,39.202822,-8.627817
367,Café Bar O Retiro,Café,39.208441,-8.620171
368,Ciberim-Serviço de Cópias e Internet Unipessoal,Art Restoration Service,39.207902,-8.620129
369,Café Império,Bar,39.209374,-8.630684
370,Rhefúgios Bar,Bar,39.208014,-8.628928
371,Casa de Chá Chic,Café,39.209287,-8.629253
372,Caffe Central,Café,39.209143,-8.629995
373,Bora Bora Bar,Beer Garden,39.21033,-8.62889
374,Boutique do Chá,Tea Room,39.210251,-8.629609
375,O Bago,Café,39.20719,-8.631291
376,3A É de Vez,Bar,39.209736,-8.631633
377,Casa das Queijadas,Café,39.202235,-8.628022
378,Cavalo Preto,Bar,39.201338,-8.62795
379,Pastelaria Veniciene,Coffee Shop,39.210411,-8.6191
380,Titanic,Bar,39.213075,-8.620401
381,Pastelaria Pão e Doce,Café,39.212976,-8.620281
382,Pastelaria Rainha,Café,39.211814,-8.619072
383,Ponto G,Café,39.213055,-8.619562
384,Café Pirolito,Café,39.209644,-8.628668
385,Pizzaria Avenida,Night Club,39.209693,-8.628727
386,Café Cine,Café,39.209693,-8.628727
387,Vânia Lopes - Unipessoal,Tea Room,39.209693,-8.628727
388,Cantarrilha & Bento - Actividades Hoteleiras,Tea Room,39.209693,-8.628727
389,Maria Helena A F Aldeinhas,Café,39.209693,-8.628727
390,Aida M Soares Conceição,Café,39.209693,-8.628727
391,António F Fernandes Virgas,Wine Bar,39.209693,-8.628727
392,Caffe Central,Bar,39.209094,-8.629936
393,"Maxidoce - Café, Bar",Art Restoration Service,39.210054,-8.629063
394,Resto bar YA GO,Bar,39.208786,-8.630581
395,Nunes & Dias,Bar,39.210279,-8.628216
396,"Venercom, Comércio e Representações de Produtos Alimentares",Food and Beverage Service,39.210089,-8.629819
397,Domitília M Aniceto Bento,Café,39.210379,-8.62895
398,Felismina A Maria Silva,Café,39.207727,-8.626031
399,Garcia B Brito Apolónia,Café,39.209749,-8.63063
400,Georgina Alves Lopes,Café,39.210621,-8.62802
401,Copo Com Texto-Cafetaria e Livraria,Café,39.210464,-8.629766
402,Café Império,Café,39.209929,-8.630951
403,Bar 56,Arts and Entertainment,39.206617,-8.630799
404,Filipa Pinheiro & Fábio Dias,Bar,39.209541,-8.632009
405,Alcindo J. N. Pereira Monteiro,Café,39.20678,-8.62526
406,"Julieta Mendes, Unipessoal",Art Restoration Service,39.209885,-8.632427
407,Carlos M Lopes Garcia,Night Club,39.208927,-8.623922
408,Duo S.A.,Event Service,39.212131,-8.630568
409,António P Luís Fidalgo,Café,39.209299,-8.622947
410,Sousa & Neves,Night Club,39.204237,-8.626479
411,Antonio Fidalgo Rosa,Café,39.203672,-8.628443
412,Joaquina M Pires Cruz,Café,39.212829,-8.624791
413,Chapitas - Actividades Hoteleiras,Night Club,39.202822,-8.627817
414,Conceição Caldeira Policarpo,Café,39.213316,-8.62416
415,Café Bar O Retiro,Café,39.208441,-8.620171
416,Ciberim-Serviço de Cópias e Internet Unipessoal,Art Restoration Service,39.207902,-8.620129
417,Joaquim Duarte Russo,Art Restoration Service,39.21387,-8.623813
418,Tecniart,Tea Room,39.213948,-8.622787
